Entity Name,Entity Code,Shade Family,Hex Code,Feature Tag,Color Temperature,Tonality,Room,Popularity,Page Number,Position Number,Latest,Page URL,Complementary Shade 1 - Similar Tone,Similar Tone Hex,Complementary Shade 2 - Recommended Pairing,Recommended Pairing Hex,Complementary Shade 3 - Classic Opposite,Classic Opposite Hex,Complementary Shade 4 - Matched Tonality Opposite,Matched Tonality Opposite Hex,Suggested Wallpaper - Similar Tone,Similar Tone Wallpaper Hex,Suggested Wallpaper Link - Similar Tone,Suggested Wallpaper - Complementary,Complementary Wallpaper Hex,Suggested Wallpaper Link - Complementary,Suggested Texture - Complementary,Complementary Texture Hex,Suggested Texture Link - Complementary,Suggested Texture - Best Aesthetic Match,Best Aesthetic Match Hex,Suggested Texture Link - Best Aesthetic Match
gypsy queen,719,purples,#CDC9D1,,cool,light,"living room, exterior body, prayer room",298,38,2,1903,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/gypsy-queen.html,thai purple-n (K290),#594851,caffeine (8653),#5B4942,cheerful cherry (8693),#774A4C,country chic-n (K282),#D4CCC4,Sabyasachi Chapter 3: Heartland - Jaipur Valencia - Wedgewood (W150Z689S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z689S75.jpg,Sabyasachi Chapter 3: Heartland - Kamalika - Jaisalmer Rose (W150Z691S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z691S75.jpg,Infinitex Square (TXT1047CMB1165),#93B872,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1047CMB1165.jpg,Metallics Spatula (TXT1043CMB1151),#DFC884,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1043CMB1151.jpg
pallid violet,7185,purples,#BCB7C3,Recommended,cool,medium,"study room, bedroom, exterior body",299,38,3,1902,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/pallid-violet.html,regal air-n (9608),#4C4556,raven song (8253),#40403F,poker table-n (9791),#5D7240,hidden ravine (8393),#A3A99C,Sabyasachi Chapter 3: Heartland - Kamalika - Persian Sea (W150Z694S75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z694S75.jpg,Replay - May Day - Tea Green (W159XE39N75),#F2EDD7,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE39N75-10x10.jpeg,Archi Concrete Deck (IDC1005CMB1006),#C2C9B8,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IDC1005CMB1006.jpg,Metallics Spatula (TXT1043CMB1150),#DFC884,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1043CMB1150.jpg
still pond,7184,purples,#A7A7B4,,cool,medium,"study room, bedroom, exterior body",300,38,4,1901,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/still-pond.html,majestic purple (8205),#594A56,river soil-n (K211),#594F4A,lumber jack (8742),#715E5B,misty rose (8745),#BBA8A4,Magnificent South - Thousand Flowers - Peacock Blue (W151Z706N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z706N75.jpg,Magnificent South - Grand Garden - Pearl (W151Z751N75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z751N75.jpg,Bamboo (TXT1006CMB1025),#9D9D43,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1006CMB1025.jpg,Metallics Spatula (TXT1043CMB1153),#F9A23C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1043CMB1153.jpg
garden beauty,7183,purples,#8C8C9C,Recommended,cool,medium,"study room, bedroom, exterior body",301,38,5,1900,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/garden-beauty.html,muskaan-n (K041),#E0D8D1,white butter (L164),#EAE7E1,pure cotton (L172),#F1EEE0,beach comber (8480),#A49C86,Magnificent South - Thousand Flowers - Nile Blue (W151Z707N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z707N75.jpg,Ador - Serenade - Dazzler - Steel Grey (AW02VH43N75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH43N75.jpg,Metallics Torrent (TXT1051CMB1188),#757551,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1051CMB1188.jpg,Antico Classique (LXE1001CMB1008),#B68555,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1001CMB1008.jpg
purple pansy,7182,purples,#6E6C7B,,cool,dark,"exterior trims and accents, doors & windows, niches & alcoves",302,38,6,1899,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/purple-pansy.html,cool camellia-n (K046),#D9CDCD,indian cotton (L165),#F1EDE4,cobbled path (8636),#F7ECE1,toasted toffee (8751),#7F6F67,Magnificent South - Queens Trail - Eucalyptus Blue (W151Z710N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z710N75.jpg,Ador - Serenade - Dazzler - Faded Silver (AW02VH45N75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH45N75.jpg,Lattice Kaledio (IMP1012CMB1008),#737563,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IMP1012CMB1008.png,HerringBone (TXT1029CMB1106),#BB903F,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1029CMB1106.jpg
victorian purple,7181,purples,#504D55,,cool,dark,"exterior trims and accents, doors & windows, niches & alcoves",303,38,7,1898,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/victorian-purple.html,lilac elegance (8218),#D0C7C6,ice grey (8259),#E0E0DC,crystal peak (L105),#F2EEE3,havana cigar-n (K210),#604E42,Magnificent South - Queens Trail - Royal Blue (W151Z711N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z711N75.jpg,Sandtales - Desert Legend - Sandvivid (W145Z359N75),#5E5D57,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z359N75-10x10.jpeg,Infinitex Fern (TXT1026CMB1097),#566637,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1026CMB1097.jpg,Ragging (TXT1035CMB1125),#B5A72C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1035CMB1125.jpg
charcoal plum-n,9631,purples,#47454F,,cool,dark,"exterior trims and accents, doors & windows, niches & alcoves",304,38,8,1897,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/charcoal-plum-n.html,quiet sky (9451),#DEC8CE,icy peak (L109),#E7E5DA,silence (L158),#EDE7DC,tempered chocolate-n (K218),#5F4740,Magnificent South - Crown Court - Jacobean Blue (W151Z714N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z714N75.jpg,Sandtales - Sacred Spirit - Tumbleweed (W145Z375N75),#5E5D57,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W145Z375N75-10x10.jpeg,Combing (TXT1014CMB1057),#717B46,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1014CMB1057.jpg,Crinkle (TXT1016CMB1066),#CCA00E,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1016CMB1066.jpg
soft ballad,7196,purples,#DFDBE0,,cool,light,"living room, exterior body, prayer room",305,39,1,1896,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/soft-ballad.html,purple suede-n (K037),#75666F,falcon feather-n (K270),#725B54,charred umber-n (K204),#785C4B,jade isle (8404),#E4E3D6,Sabyasachi Chapter 4: Paris-Calcutta - Badam (Mica) (W269LO32S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO32S75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Calcutta Dust (W269LO09S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO09S75.jpg,Antico (LIC1013CMB1005),#9FD092,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1013CMB1005.jpg,Archi Concrete Deck (IDC1005CMB1010),#C5CEB0,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IDC1005CMB1010.jpg
cranberry ice,7195,purples,#D1CED9,,cool,light,"living room, exterior body, prayer room",306,39,2,1895,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/cranberry-ice.html,lilac dusk-n (9624),#746F7F,ash brown-n (K119),#66645D,green patina-n (K299),#53554D,windswept (8395),#CDD1C4,Magnificent South - Absolute Elegance - Ivory (W151Z719N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z719N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Aqua Pearl (Mica) (W269LO13S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO13S75.jpg,Velour Classique (LIC1009CMB1006),#DFE3D4,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1006.jpg,Metallics Disc (TXT1024CMB1081),#E2C87B,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1024CMB1081.jpg
young berry,7194,purples,#BCB9CB,,cool,light,"living room, exterior body, prayer room",307,39,3,1894,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/young-berry.html,purple pansy (7182),#6E6C7B,grey blast (8438),#746C62,fern garden-n (9822),#838F47,badal-n (K130),#C6C7C0,Magnificent South - Absolute Elegance - Ocean Blue (W151Z720N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z720N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Gulab (W269LO24S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO24S75.jpg,Crinkle (PLY1002RIM1005),#C2C5B4,https://www.asianpaints.com/content/dam/asian_paints/textures/room-shots/PLY1002RIM1005.png,Dune Halo (LIC1012CMB1007),#F5C783,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1012CMB1007.jpg
princess purple,7193,purples,#A3A5B9,,cool,medium,"study room, bedroom, exterior body",308,39,4,1893,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/princess-purple.html,purple chiffon (7205),#52578D,orangutan brown-n (K208),#7E624F,garland (7781),#76724E,marble quarry (8425),#ACAB9D,Magnificent South - Last Maharaja - Eucalyptus Blue (W151Z723N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z723N75.jpg,Magnificent South - Forever - White Marble (W151Z754N75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z754N75.jpg,DuneDrizzle (TXT1025CMB1087),#E7D76C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1025CMB1087.jpg,DuneDrizzle (TXT1025CMB1094),#FA9B5D,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1025CMB1094.jpg
senate purple,7192,purples,#9699AF,,cool,medium,"study room, bedroom, exterior body",309,39,5,1892,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/senate-purple.html,blue berry (7213),#484C7B,lilac frost (7148),#ECE7E4,green wisp (7780),#F1EDD2,summer juice-n (K287),#DFD162,Magnificent South - Last Maharaja - China Blue (W151Z725N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z725N75.jpg,Replay - Confetti - Linen White (W159XE06N75),#C8B8A6,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE06N75-10x10.jpeg,Argilla Traventine (MSC1015CMB1002),#FCF0A2,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/MSC1015CMB1002.jpg,Canvas (TXT1010CMB1044),#E38143,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1010CMB1044.jpg
mulberry,7191,purples,#7C7D93,Recommended,cool,medium,"study room, bedroom, exterior body",310,39,6,1891,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/mulberry.html,tiffany (7167),#9B9DC4,air breeze (9436),#F3EDE8,lemon twist (7716),#F0EFDA,grey cloud (8423),#8E8E80,Magnificent South - Noble Earth - Ivory (W151Z727N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z727N75.jpg,Sabyasachi Chapter 3: Heartland - Sanganer Tent - Suleiman Rose (W150Z667S75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z667S75.jpg,Lithos Jaal-E-Taj (LXE1009CMB1013),#A19A65,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1009CMB1013.jpg,Safari Classic (TXT1001CMB1003),#B57E4C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1001CMB1003.jpg
vintage velvet,7190,purples,#6C6D84,,cool,dark,"exterior trims and accents, doors & windows, niches & alcoves",311,39,7,1890,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/vintage-velvet.html,still pond (7184),#A7A7B4,purity-n (0766),#EFEAE6,spring sunshine (9364),#F1F0D4,dried lime-n (9836),#BFBA34,Magnificent South - Noble Earth - Deccan Stone (W151Z728N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z728N75.jpg,Sabyasachi Chapter 3: Heartland - Sanganer Tent - Suleiman Rose (Mica) (W150Z668S75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z668S75.jpg,Ragging (TXT1035CMB1125),#B5A72C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1035CMB1125.jpg,ZigZag (TXT1054CMB1204),#E17322,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1054CMB1204.jpg
lineage,7189,purples,#4F4D5A,,cool,dark,"exterior trims and accents, doors & windows, niches & alcoves",312,39,8,1889,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/lineage.html,delicate feather-n (K047),#D8C6C9,cotton wool (L104),#F2EEE3,chalk powder (L183),#F0E9E0,tuscan olive-n (K283),#655342,Magnificent South - Noble Earth - China Blue (W151Z729N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z729N75.jpg,Sabyasachi Chapter 3: Heartland - Gokul Pichwai - Kheer (W150Z672S75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z672S75.jpg,Charpai (TNB1005CMB1004),#9FA873,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1005CMB1004.jpeg,Metallics Combing (TXT1015CMB1061),#C38014,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1015CMB1061.jpg
first ray,7204,purples,#E1DFE3,,cool,light,"living room, bedroom, exterior body",313,40,1,1888,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/first-ray.html,grenache noir-n (K030),#5E424B,ash bark-n (K072),#716762,burgundy plus (X129),#7F454B,white delight (8436),#E9E4D9,Magnificent South - Splendid Summer - Eucalyptus Blue (W151Z730N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z730N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Suleiman Rose (Mica) (W269LO33S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO33S75.jpg,Archi Concrete Ferro (IDC1004CMB1007),#ACB2A5,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/IDC1004CMB1007.jpg,Velour Classique (LIC1009CMB1007),#E8E1B9,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LIC1009CMB1007.jpg
delicate doll,7203,purples,#D5D5E0,,cool,light,"living room, bedroom, exterior body",314,40,2,1887,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/delicate-doll.html,mulberry (7191),#7C7D93,evening shade (8758),#776B60,bamboo grove (8405),#64644F,luminous (7715),#EBEBD1,Magnificent South - Splendid Summer - Peacock Blue (W151Z731N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z731N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Jamun (W269LO58S75),#F2EDD7,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO58S75.jpg,Lithos (LXE1005CMB1003),#DCDCD5,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1005CMB1003.jpg,Lithos Jaal-E-Taj (LXE1005CMB1001),#DFB78E,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1005CMB1001.jpg
purple pride,7202,purples,#C7C8DC,,cool,light,"living room, bedroom, exterior body",315,40,3,1886,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/purple-pride.html,vintage velvet (7190),#6C6D84,antique brass (8581),#805D47,bamboo green-n (9855),#807E3C,limon (7778),#EAE8BA,Magnificent South - Flower Duet - Sandalwood (W151Z734N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z734N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Deep Pink (W269LO29S75),#EDDEB1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO29S75.jpg,Argilla Earth (MSC1014CMB1002),#F7EDAF,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/MSC1014CMB1002.jpg,Shale (TXT1039CMB1134),#E49A62,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1039CMB1134.jpg
lined with lilac,7201,purples,#9FA4C6,,cool,medium,"kids room, prayer room",316,40,4,1885,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/lined-with-lilac.html,purple heart (7206),#6977B0,wildebeest run-n (K203),#7E5B49,kitchen garden (7821),#A1953E,nimboo splash-n (9848),#EADB75,Magnificent South - Flower Duet - China Blue (W151Z735N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z735N75.jpg,Replay - Pulse - Cream (W159XE13N75),#C8B8A6,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE13N75-10x10.jpeg,DuneDrizzle (TXT1025CMB1087),#E7D76C,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1025CMB1087.jpg,Torrent (TXT1050CMB1186),#E19675,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1050CMB1186.jpg
royal glimmer,7200,purples,#9298BC,,cool,medium,"kids room, prayer room",317,40,5,1884,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/royal-glimmer.html,bluebell beauty-n (9633),#5D6BA6,pearly pink (9412),#F6EBE5,firefly flicker (7916),#F6F2DF,jungle cane (7793),#BEB792,Magnificent South - Distant Land - Jacobean Blue (W151Z738N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z738N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Aged Ivory (Mica) (W269LO02S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO02S75.jpg,Lithos (LXE1005CMB1016),#C5BA83,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1005CMB1016.jpg,Marina (TXT1032CMB1118),#DB8D64,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1032CMB1118.jpg
grape,7199,purples,#8087AD,,cool,medium,"kids room, prayer room",318,40,6,1883,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/grape.html,petal soft (7208),#A4AED6,sky pink (9428),#F3ECE9,moonlight (L121),#F3EFDC,camelot (7792),#AAA17A,Magnificent South - Petal Art - Eucalyptus Blue (W151Z741N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z741N75.jpg,Sabyasachi Chapter 4: Paris-Calcutta - Summer Rose (Mica) (W269LO03S75),#C8B8A6,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W269LO03S75.jpg,Lithos Moonwalk (LXE1008CMB1014),#B0A770,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1008CMB1014.jpg,Colourwash (TXT1012CMB1047),#D76F4E,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1012CMB1047.jpg
plum berry,7198,purples,#73799F,,cool,medium,"kids room, prayer room",319,40,7,1882,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/plum-berry.html,lined with lilac (7201),#9FA4C6,mystic sky (8212),#EAE3DF,lily pad (7788),#E7E4CF,henna (2430),#9F9972,Magnificent South - Grand Garden - Green Velvet (W151Z750N75),#567385,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z750N75.jpg,Sabyasachi Chapter 3: Heartland - Vatika - Choona Paani (W150Z685S75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W150Z685S75.jpg,Lithos Dazzle (LXE1012CMB1013),#A09456,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1012CMB1013.jpg,Weaving (TXT1052CMB1198),#D9692A,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1052CMB1198.jpg
rare orchid,7197,purples,#53516F,,cool,dark,"highlight walls, niches & alcoves, bedroom",320,40,8,1881,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/rare-orchid.html,reverie (7051),#B5B4CD,peach organza (8028),#F6ECDF,alto-n (2353),#E7E9CA,banyan grove (8413),#6A6C50,Replay - Pulse - Baby Blue (W159XE10N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE10N75-10x10.jpeg,Magnificent South - Thousand Flowers - Deccan Stone (W151Z709N75),#5E5D57,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/W151Z709N75.jpg,Metallics Torrent (TXT1051CMB1188),#757551,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1051CMB1188.jpg,Metallics Basket (TNB1004CMB1001),#935F39,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1004CMB1001.jpeg
natural beauty,7212,purples,#E3E3E6,,cool,light,"living room, bedroom, exterior body",321,41,1,1880,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/natural-beauty.html,dark ganache-n (K073),#5C5152,frosted chocolate (8654),#756159,rhode island red-n (9947),#7F4A46,white canvas (L157),#EDE7DB,Replay - Torrent - Jet Grey (W159XE17N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE17N75-10x10.jpeg,Ador - Serenade - Princess - Cream (AW02VH04N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH04N75.jpg,Lithos Dazzle (LXE1012CMB1010),#C1C1B7,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/LXE1012CMB1010.jpg,Metallics Splash (TXT1046CMB1160),#D1AC71,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/interior-texture-asian-paints-TXT1046CMB1160.jpg
innocence,7211,purples,#D8DBE7,Recommended,cool,light,"living room, bedroom, exterior body",322,41,2,1879,https://www.asianpaints.com/colour-catalogue/purple-wall-colours/innocence.html,classic purple (7207),#8C98C9,mudpie-n (9950),#835442,raw mango-n (9861),#84773C,gold gleam (7834),#F9EFC8,Replay - Dandelions - Pale Blue (W159XE18N75),#567385,https://www.asianpaints.com/content/dam/asian_paints/wall-coverings/wallpaper-shots/wallpaper-asian-paints-W159XE18N75-10x10.jpeg,Ador - Serenade - Spring Day - Pale Brown (AW02VH09N75),#F3E8D1,https://www.asianpaints.com/content/dam/colourwithap/COLOUR_AP_WALLPAPER_CATALOGUE/ROOMSHOT_2/AW02VH09N75.jpg,Ragging (PLY1005RIM1003),#E1CB8C,https://www.asianpaints.com/content/dam/asian_paints/textures/room-shots/PLY1005RIM1003.png,Charpai (TNB1005CMB1006),#C68A6F,https://www.asianpaints.com/content/dam/asian_paints/textures/swatches/exterior-texture-asian-paints-TNB1005CMB1006.jpeg
